F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,O2,O1,AF3
-6,35,85,29,-37,23,37,0,-2,10,77,-2,69,-4
-1,30,82,26,-30,13,46,6,0,15,73,-3,69,10
-1,30,82,26,-30,13,46,6,0,15,73,-3,69,10
20,58,102,50,7,35,83,34,22,36,98,25,92,47
32,79,105,63,25,49,93,35,39,58,110,24,96,68
32,56,94,43,11,34,52,13,43,59,87,-2,83,60
25,46,96,26,-3,16,20,12,32,38,74,-5,83,40
8,35,106,28,-5,11,22,27,11,20,85,7,98,24
-6,22,111,36,-3,20,21,34,11,26,96,14,108,20
-6,22,111,36,-3,20,21,34,11,26,96,14,108,20
-2,32,108,48,0,37,22,34,29,34,110,24,104,24
10,36,100,61,0,46,42,34,32,35,122,28,88,30
22,47,105,70,0,60,60,45,25,46,124,24,98,40
30,63,117,85,9,82,76,61,29,61,130,32,117,54
34,67,105,92,9,81,94,57,31,62,136,37,103,50
27,62,89,69,-1,53,87,34,20,50,122,28,93,33
27,62,89,69,-1,53,87,34,20,50,122,28,93,33
9,33,91,41,-4,28,80,23,7,31,98,20,107,25
6,24,91,29,-4,25,86,27,4,31,87,21,108,26
13,32,87,28,-4,31,71,29,11,44,95,16,92,28
4,26,83,31,-10,27,32,24,6,31,97,8,93,28
-11,18,80,22,-27,14,-1,18,-9,10,83,6,99,16
-3,10,84,6,-34,12,-10,24,-5,17,83,10,94,12
-3,10,84,6,-34,12,-10,24,-5,17,83,10,94,12
18,23,87,9,-25,18,6,33,12,34,91,13,96,27
26,30,73,17,-27,10,20,23,12,26,76,6,97,33
21,26,60,7,-27,-1,19,11,12,15,67,-2,93,29
25,45,72,4,-8,7,35,21,24,29,77,-5,92,40
35,46,89,20,1,21,63,29,31,38,82,-4,91,53
32,46,88,40,-2,31,67,29,29,45,83,-2,100,53
30,59,87,49,-7,39,62,33,25,60,95,4,112,50
30,59,87,49,-7,39,62,33,25,60,95,4,112,50
30,58,97,43,-15,36,70,32,23,54,99,10,107,41
20,45,95,22,-26,22,82,26,14,34,76,3,85,26
19,26,89,13,-40,20,91,32,9,34,66,3,67,31
25,25,88,15,-54,27,95,40,9,47,81,7,54,41
20,14,89,5,-59,22,90,32,7,39,75,2,35,31
25,1,92,9,-49,18,70,27,5,31,67,0,25,37
25,1,92,9,-49,18,70,27,5,31,67,0,25,37
31,14,92,25,-46,27,37,30,0,39,77,7,36,55
11,3,90,16,-59,29,14,30,-3,36,78,5,27,43
-5,-15,90,7,-67,24,11,30,2,30,76,1,3,28
14,2,93,27,-59,29,21,33,13,44,90,5,12,49
36,17,102,41,-53,35,42,31,12,55,93,7,29,72
31,11,108,23,-65,31,55,29,0,45,73,0,23,55
13,-12,98,8,-70,25,57,20,1,28,66,-3,21,34
13,-12,98,8,-70,25,57,20,1,28,66,-3,21,34
1,-21,88,3,-64,26,59,19,4,23,69,0,28,37
8,-15,85,1,-71,21,57,22,0,24,61,-2,26,39
28,-23,84,-2,-74,7,60,10,0,25,49,-8,22,35
36,-10,83,-1,-65,12,68,6,5,24,50,-8,28,44
26,0,90,6,-60,28,58,26,9,25,65,-1,32,52
7,-10,91,10,-67,25,21,34,-3,28,68,4,32,34
7,-10,91,10,-67,25,21,34,-3,28,68,4,32,34
-3,-11,84,7,-71,19,-6,23,-14,29,64,15,30,22
6,-16,87,11,-58,26,-2,29,-3,24,65,26,32,41
19,-15,89,11,-41,28,12,29,13,29,61,16,33,56
16,-13,84,11,-28,35,31,7,22,40,60,-1,29,60
3,-23,89,16,-29,40,52,4,26,34,58,-4,27,54
3,-23,89,16,-29,40,52,4,26,34,58,-4,27,54
-18,-38,88,3,-49,24,56,19,2,19,52,-8,30,35
-18,-43,75,-3,-62,18,54,27,-18,22,57,-1,34,26
-1,-25,69,14,-62,28,57,29,-11,37,64,12,29,31
-7,-36,70,15,-61,24,59,27,-7,31,57,9,25,33
-15,-63,77,2,-63,11,66,16,-12,13,52,2,32,30
-16,-56,74,-12,-75,-2,52,-1,-21,1,36,-11,35,22
-16,-56,74,-12,-75,-2,52,-1,-21,1,36,-11,35,22
-21,-46,64,-18,-88,-4,11,-4,-26,-6,24,-18,28,20
-18,-29,68,-11,-80,9,-12,8,-24,2,41,2,34,27
-6,-18,74,6,-61,13,-1,12,-20,13,50,18,48,30
-7,-38,67,3,-60,3,9,1,-16,4,40,3,44,23
-12,-50,68,-14,-64,-3,20,-3,-12,-1,39,-9,42,19
-5,-49,89,-6,-57,3,44,6,2,7,46,7,59,21
-1,-32,92,8,-47,18,59,18,8,12,54,20,73,28
-1,-32,92,8,-47,18,59,18,8,12,54,20,73,28
6,-20,80,8,-38,26,53,29,10,18,61,24,67,40
9,-27,85,9,-26,13,35,34,17,27,49,25,60,43
1,-28,85,1,-30,-4,9,23,21,19,28,16,62,33
-1,-43,67,-19,-51,-6,-17,2,2,-5,26,-1,56,29
-4,-47,64,-18,-57,-4,-15,0,-13,-4,27,-8,49,29
-1,-18,86,-3,-36,6,22,20,11,26,34,9,58,32
-1,-18,86,-3,-36,6,22,20,11,26,34,9,58,32
16,-2,98,6,-23,25,43,36,36,42,58,32,64,49
19,-7,89,14,-30,29,39,34,21,37,59,26,59,55
3,-24,84,11,-30,12,27,22,6,28,40,5,59,37
-3,-28,86,3,-25,3,9,5,8,16,39,1,57,25
-3,-27,76,-2,-29,0,-7,0,8,4,44,6,51,24
-3,-27,76,-2,-29,0,-7,0,8,4,44,6,51,24
-5,-37,67,-1,-22,-3,1,12,16,7,48,5,53,27
5,-14,76,16,-5,13,2,30,24,35,63,18,59,34
16,9,93,36,-5,31,-22,44,16,51,72,37,63,39
9,-6,94,15,-26,13,-34,29,7,35,59,29,60,32
0,-15,88,-16,-41,-15,-24,6,9,18,46,16,66,25
8,-10,94,-3,-37,-3,-6,17,8,22,57,24,80,29
8,-10,94,-3,-37,-3,-6,17,8,22,57,24,80,29
12,3,89,22,-38,15,1,39,-1,29,70,34,77,31
